id;fee;tags;amount;source;balance;created;senderId;externalId;receiverId;description
"62333629548251281932206052889750";"50";"";"-8502";"transfer/5588065329348608";"496";"2024-09-04T08:40:33.033666+00:00";"6039818934943744";"1725056937758x538316255490112200";"starkbank";"Fly Clínica de Estética e Emagrecimento (56.080.416/0001-11)"
"56710008360125287040940119003673";"200";"invoice|invoice #1234";"9000";"boleto/5303578803568640";"9048";"2024-09-04T08:40:23.342937+00:00";"starkbank";"Ym9sZXRvLzUzMDM1Nzg4MDM1Njg2NDA=";"6039818934943744";"Boleto pago em nome de Átila de Oliveira Leite"
"21250867642173485627515747539631";"50";"";"-4502";"transfer/6300081115365376";"248";"2024-09-04T08:38:19.077178+00:00";"6039818934943744";"1725381911342x551756537972528640";"starkbank";"Fly Clínica de Estética e Emagrecimento (56.080.416/0001-11)"
"31327711320128000351770576652466";"200";"invoice|invoice #1234";"5000";"boleto/4684824944050176";"4800";"2024-09-04T08:30:49.590262+00:00";"starkbank";"Ym9sZXRvLzQ2ODQ4MjQ5NDQwNTAxNzY=";"6039818934943744";"Boleto pago em nome de Shirley Maria Correia"
"13178618878207697861502107316239";"744";"fee";"0";"boleto-issuing";"0";"2024-08-31T14:59:35.375449+00:00";"6039818934943744";"6039818934943744/boleto/2024-08/744";"starkbank";"Tarifa por 116 Boletos(s) processado(s) de 31/07/2024 a 30/08/2024"
"23567532108995389885131693029247";"50";"";"-15652";"transfer/6043144872263680";"744";"2024-08-28T08:40:53.124284+00:00";"6039818934943744";"1724796062143x317937490693540800";"starkbank";"Fly Clínica de Estética e Emagrecimento (56.080.416/0001-11)"
"10863818119983999640499355714398";"200";"invoice|invoice #1234";"16150";"boleto/5570966287548416";"16446";"2024-08-28T08:40:42.776098+00:00";"starkbank";"Ym9sZXRvLzU1NzA5NjYyODc1NDg0MTY=";"6039818934943744";"Boleto pago em nome de Delia Villarroel Castellon"
"32213678946756084666016389511033";"50";"";"-11382";"transfer/6135080928935936";"496";"2024-08-28T08:37:01.831249+00:00";"6039818934943744";"1724440575514x134479760052328640";"starkbank";"Fly Clínica de Estética e Emagrecimento (56.080.416/0001-11)"
"64809573378308167464875015556251";"200";"invoice|invoice #1234";"11880";"boleto/5081600901513216";"11928";"2024-08-28T08:30:39.161619+00:00";"starkbank";"Ym9sZXRvLzUwODE2MDA5MDE1MTMyMTY=";"6039818934943744";"Boleto pago em nome de Ana Paula Saveli"
"69148329912205403729377803423678";"50";"";"-12002";"transfer/6396246079045632";"248";"2024-08-22T08:40:54.914740+00:00";"6039818934943744";"1724271496289x847673919919463600";"starkbank";"Fly Clínica de Estética e Emagrecimento (56.080.416/0001-11)"
"68290056228621489135477415181247";"200";"invoice|invoice #1234";"12500";"boleto/5330475566497792";"12300";"2024-08-22T08:40:41.907918+00:00";"starkbank";"Ym9sZXRvLzUzMzA0NzU1NjY0OTc3OTI=";"6039818934943744";"Boleto pago em nome de Leticia de Oliveira da Silva"
"50936221588850931572436119943446";"50";"";"-4601";"transfer/6750212377804800";"2629";"2024-09-18T08:36:18.962647+00:00";"6039818934943744";"1726257081466x866103171281316700";"starkbank";"Fly Clínica de Estética e Emagrecimento (56.080.416/0001-11)"
"25523081614286943218636992033561";"50";"";"-9637";"transfer/5726629060935680";"7280";"2024-09-18T08:35:57.507675+00:00";"6039818934943744";"1725644885342x279031293700850100";"starkbank";"Fly Clínica de Estética e Emagrecimento (56.080.416/0001-11)"
"70332662231103714897376553217180";"200";"invoice|invoice #1234";"5000";"boleto/5715568910925824";"16967";"2024-09-18T08:31:08.830149+00:00";"starkbank";"Ym9sZXRvLzU3MTU1Njg5MTA5MjU4MjQ=";"6039818934943744";"Boleto pago em nome de João Gabriel ROdrigues"
"73027984494510314472418588830151";"200";"invoice|invoice #1234";"10135";"boleto/5462653185032192";"12167";"2024-09-18T08:30:56.801854+00:00";"starkbank";"Ym9sZXRvLzU0NjI2NTMxODUwMzIxOTI=";"6039818934943744";"Boleto pago em nome de Mikaele Duarte Oliveira"
"20627275796361901480521044328600";"50";"";"-18477";"transfer/5883141293080576";"2232";"2024-09-17T09:04:36.165932+00:00";"6039818934943744";"1724167828372x539942351302450370";"starkbank";"Fly Clínica de Estética e Emagrecimento (56.080.416/0001-11)"
"84181347130496210797664796976771";"200";"invoice|invoice #1234";"18975";"boleto/6196222937268224";"20759";"2024-09-17T08:41:02.633612+00:00";"starkbank";"Ym9sZXRvLzYxOTYyMjI5MzcyNjgyMjQ=";"6039818934943744";"Boleto pago em nome de KANDASSE EVANGELISTA DOS SANTOS "
"69067200197233383307676730734703";"50";"";"-10085";"transfer/4598569087533056";"1984";"2024-09-12T08:41:27.911018+00:00";"6039818934943744";"1724849546510x769104045222355000";"starkbank";"Fly Clínica de Estética e Emagrecimento (56.080.416/0001-11)"
"42643347774265448341570597166272";"200";"invoice|invoice #1234";"10583";"boleto/5789081906708480";"12119";"2024-09-12T08:41:03.067427+00:00";"starkbank";"Ym9sZXRvLzU3ODkwODE5MDY3MDg0ODA=";"6039818934943744";"Boleto pago em nome de Ellen Cristina De Almeida Santos"
"82620466534533958988071693255732";"50";"";"-9849";"transfer/5499549341712384";"1736";"2024-09-11T08:37:07.531067+00:00";"6039818934943744";"1724785586803x551693560180418050";"starkbank";"Fly Clínica de Estética e Emagrecimento (56.080.416/0001-11)"
"63681959610748391221255200712638";"200";"invoice|invoice #1234";"10347";"boleto/4671715193913344";"11635";"2024-09-11T08:30:52.529895+00:00";"starkbank";"Ym9sZXRvLzQ2NzE3MTUxOTM5MTMzNDQ=";"6039818934943744";"Boleto pago em nome de Fernanda Aparecida Pereira Branco"
"67752257577426037226756171010624";"50";"";"-16502";"transfer/6351082442719232";"1488";"2024-09-10T09:08:46.056605+00:00";"6039818934943744";"1725661054375x560124187740952800";"starkbank";"Fly Clínica de Estética e Emagrecimento (56.080.416/0001-11)"
